screen_width,screen_height,condition,writing_assignment,awe,fear,amazement,happiness,fascination,content_video,content_study,video_played,video_problems,sound_on,attentive,conscientious,screen_control,screen_control_other,privacy_check
667,315,exp_new,"Analytische Fähigkeit
Empathie
Zuhören
Struktur
Klarheit
Intelligenz
Organisationstalent
Vernetzung
",6,5,6,3,6,"Vom Detail zum großen Ganzen
Mensch/Erde ist nur ein kleiner Punkt im Universum",Einfluss auf Selbstbeurteilung,1,"",1,1,1,1,"",OK
390,699,exp_old,"Meine Stärken sind wohl dass ich sehr hilfsbereit bin. Ich bin einfühlsam und kann mit gut in andere hineinversetzen und dadurch gut mit anderen zusammenarbeiten. Außerdem kann ich in schwierigen Situationen oder bei schwierigen Aufgaben gut einen kühlen Kopf bewahren und auch analytisch vorgehen. Zudem würde ich mich als sehr offen und aufgeschlossen beschreiben.
Leider neige ich dazu Dinge zu viel zu überdenken, wodurch ich leicht meine normalerweise optimistische Einstellung herunterziehe. Außerdem gehen mir viele Situationen sehr nahe.",6,2,7,6,7,"- Vergleich der Erde zu anderen uns bekannten Planeten und Sternen im Universum
- zuerst Vergleich zu unserem Sonnensystem, dann Vergleich zu größeren Sternen als die Sonne 
- von kleinstem Planet zu größtem Stern
- am Ende Vergleich der Erde zu größtem Stern",Vielleicht wie die Stärken und Schwächen bzw. Persönlichkeit einer Person Einfluss auf das Erleben und die Emotionen in bestimmten Situationen oder bei Videos (mit speziellem Ton) hat,1,"",1,1,1,1,"",OK
1180,688,exp_new,"Stärken: verantwortungsbewusst, gutes Organisationsgeschick, ich kann gut zuhören, Empathie, ich kann schnell Neues lernen & merken, interessiert

Schwächen:
Unsicher, Geduld",6,2,6,4,6,Aus der Erde rausgezoomt ins Universum,Zusammenhang von Staunen & Persönlichkeit,1,"",1,1,1,2,"",OK
393,773,exp_new,Ich bin einfühlsam und kümmere mich um die Gefühle von anderen. Ich kann gut planen und organisieren. Jedoch kann ich schnell genervt werden.,4,1,2,1,3,Um die Erde und das Weltall und wie klein wir im Vergleich dazu sind.,Wie Musik und Perspektive einen Einfluss auf die Wahrnehmung haben.,1,"",1,1,1,1,"",OK
,,"","",,,,,,"","",,"",,,,,"",OK
393,695,exp_old,"Stärken: 
Körperlich: Ausdauer, Kraft, Hand Augen coordination, vielfältige Erfahrung. 
Mental: Durchhaltevermögen und Motiviert, schlau
Schwächen: faul wenn kein Ziel, unmotiviert wenn es etwas is was ich nicht gut kann

Mache nur gerne Sachen die ich gut kann und muss für Neues oft leicht gezwungen/überredet werden
",2,1,3,2,4,"Größendimensionen in unserem Universum
",Die Selbsteinschätzung nachdem gezweigt wird wie klein und evtl unnötig wir sind im Vergleich zum Universum ,1,"",1,1,1,1,"",OK
1210,702,exp_old,"Meine Stärken sind, dass ich eher emphatisch bin (was manche auch als Schwäche bezeichnen). Ich hab Humor und ich hab das Gefühl Leute fühlen sich wohn um mich herum. Außerdem bemühe ich mich immer Nett und hilfsbereit zu sein. Zu meinen Schwächen zählt, dass ich nicht sehr fleißig bin. Sehr anhänglich bin. Aufmerksamkeit brauche…",5,1,4,3,4,"Die Größe der Welt 
Vergleich der Welt mit anderen Planeten/Sternen","Ich glaube in der Studie ging es um das Vergleichen. Also das vergleichen der Planeten durch Größe, das vergleichen von uns Menschen durch stärken und schwächen. Aber es könnte auch darum gehen, wie groß unser Universum ist, und was ein winziger Teil wir doch sind, und unsere Stärken und Schwächen im Vergleich zum Weltall doch nur winzig und unwichtig sind.",1,"",1,1,1,2,"",OK
1920,947,control,"Meine Stärken sind hohes Einfühlungsvermögen, Verständnis, Neutralität und Allparteilichkeit, Motivation und Volition. Meine Schwächen sind ein zu hohes Verantwortungsbewusstsein, wenig Humor, ich kann mit nahmen Menschen sehr fordernd sein, ich brauche viel Ruhe und führe schlecht lockere Gespräche, ich kann mich nicht gut in Gruppen integrieren",3,2,1,1,2,Mauern und Mauerbau,Wie langweilige Videos unsere Selbstwahrnehmung beeinflussen.,1,"",2,2,1,3,"",OK
430,775,control,"Stärken: 
Sprachen 
Kunst & Kreativität 

Schwächen: 
Mathematik
Technik 
Wenig Geduld",1,1,2,2,2,Informationen um Mauern stabiler zu errichten ,/ ,1,"",1,1,1,1,"",OK
1272,668,control,"Stärken: ich bin vor allem gut im logische analytischen Denken  und bin positiv, motiviert und diszipliniert und gut in Teamarbeit. 
Schwächen: Ich bin vllt etwas ungeduldig und manchmal faul",1,1,2,2,3,"Methoden, um eine Mauer zu stabilisieren.
Zum Beispiel Kurven/Ecken, Rohre oder Kleber + Werbung","Keine Ahnung, vllt worauf man den Fokus setzt beim Video",1,"",1,1,1,3,"",OK
430,729,exp_new,"Meine Stärke ist, dass ich gerne und viel rede. Immer mit anderen Leuten das Gespräch suche und mich sehr für das Leben meiner Mitmenschen interessiere. Wenn ich jemanden kenne, bin ich super offen, immer für diese Person da und schätze jeden Moment. Meine Schwöche jedoch ist, dass ich erst Zeit brauche um mich zu öffnen. Ich angst habe, zu schlecht für etwas zu sein und mich dann oft nicht traue etwas zu tun. Mir fehlt oft das Selbstbewusstsein aus mir raus zu kommen und mich so zu zeigen wie ich bin. Außerdem versuche ich es immer allen anderen gerecht zu machen und merke dadurch nicht, dass ich einfach ich sein sollte anstatt mich zu verstellen.",4,4,7,2,6,"- Universum
- wie klein die Welt ist im Vergleich zu der Milchstraße
- Verlassen von Bekanntem ins Ungewisse",Wie verschiedene Menschen Videos in Kombination mit Tönen wahrnehmen und interpretieren + auf den eigenen Charakter beziehen/ widerspiegeln,1,"",1,1,1,1,"",OK
360,625,control,"Zunächst zu meinen Stärken. Ich bin sehr ordentlich und strukturiert, zudem kann ich gut zu hören. Ich funktioniere gut in einer Teamarbeit und bin zuverlässig.
Meine schwächen sind, dass ich manchmal die Zeit nicht richtig im Blick hab und für kleinere Aufgaben viel zu viel Zeit aufwende.",2,1,3,2,1,"Das Video handelte davon, wie man Mauern baut und diese besonders gut verstärkt.",Ich weiß es leider nicht ,1,"",1,1,1,1,"",OK
402,714,exp_new,"meine Stärken sind meine kreativität und konzentration unter stress, ich lasse mich wenig von meinen Emotionen lenken undkann auch in stressigen oder schwierigen situationen ruhig und faktenbasiert bleiben. 
ich prokrasiniere manchmal zu vor indian mich schwer aufraffen dinge zu tun, wieso das so ist kann ich mir dabei oft selbst nicht erklären außerdem falle ich anderen oft ins wort, grundsätzlich höre ich trotzdem gerne zu und beschäftige mich mit anderen menschen ",5,1,6,5,7,der bedeutungslosigkeit des menschen angesichts des unendlichen universums,vielleicht wie sich das gefühl der distanzierung von seinem eigenen leben und der realisation der eigenen bedeutungslosigkeit (also im sinne davon wie viel mehr es eigentlich noch gibt) auf das eigene selbstbild auswirkt ,1,"",1,1,1,1,"",OK
390,658,exp_old,"Die Stärken der Person sind, dass sie sehr zuverlässig ist. Sie hält sich an das was sie verspricht, außerdem ist sie zuvorkommend und möchte immer alle einschließen und mitnehmen.
Die wahrscheinlich größte Schwäche der Person ist, dass sie vor lauter Angst zu scheitern oft gar nicht erst anfängt bzw. Dinge so weit hinauszögert, dass sie in der Zeit die noch übrig ist, nicht mehr perfekt erledigt werden können.",4,3,5,2,3,"- die Erde im Sonnensystem
- Irrelevanz des Individuums bzw. Gleichheit aller von außen
- als Einzelner Teil etwas viel Größeren sein
- greifbarere Vorstellung über die Größen der Planeten vermitteln
- epische Musik","Ob das Video in einem eher ein Gefühl von Nutzlosigkeit auslöst, weil es einem so erscheint als hätte alles keinen Sinn, weil man tatsächlich nur ein winzig kleiner Fleck im Universum ist oder, ob das Video einen eher dazu anregt tätig zu werden und sich nicht den Kopf über sein Handeln zu zerbrechen, weil man tatsächlich nur ein winzig kleiner Fleck im Universum ist.",1,"",1,1,1,1,"",OK
1710,900,exp_new,"ich bin zuverlässig, halte mich an Regeln, ich habe gute Manieren , ich kann gut kochen, ich mag es draußen zusein und Sport zu machen, ich mag meinen Garten, ich höre gerne Podcast, ich mag gerne gute Serien mit Superhelden",1,1,4,3,6,In meinen Augen ging es um unsere Erde - vom kleinen Feldweg bis hin zu den Unweiten der Galaxy.,Ich konnte keinen Zusammenhang erkennen,1,"",2,1,1,3,"",OK
393,665,control,"Ich bin sehr empathisch, hilfsbereit und fürsorglich. Ich kümmere mich um andere so wie ich gerne behandelt werden würde, ich versuche viel hineinsetzungsvermögen und Verständnis anderen gegenüber zu haben. Ich hab viel selbstreflexion. Gleichzeitig sorge ich mich um mich selbst kaum, vernachlässige mich und meinen Körper, bin teils so empathisch dass ich nachteile von habe und falsches verhalten aus Mitleid entschuldigen könnte. Ich habe nicht viel Geduld, kaum selbstregulation und komme mit meinen gefühlen teils sxhwer klar, ich verschiebe gerne statt mich direkt drum zu kümmern und manchmal bin ich auch gnadenlos wenn man mich zu viel getestet hat, sodass all die oben genannten stärken kurz wegfallen",1,1,3,1,2,"Wie man Mauern bauen ind stabilisieren kann, welche Methoden es dafür gibt und welche optischen Merkmale ebenfalls vorteilhaft sind für stabile Mauerbauten",Ehm keine Ahnung,1,"",1,1,1,1,"",OK
,,exp_new,"",,,,,,"","",,"",,,,,"",OK
402,768,exp_old,"Meine Stärken sind zum Beispiel mein Einfühlungsvermögen. Ich höre meinen Mitmenschen gerne zu und versuche ihnen gerne zu helfen. Zudem habe ich immer ein offenes Ohr für sie und bin immer für sie da. Ich bin ehrgeizig, zielstrebig und arbeite hart an etwas, was ich mir vorgenommen habe. 
Meine Schwächen sind, dass ich mir alles sehr sehr zu Herzen nehme. Manchmal bin ich etwas zu ehrgeizig und ungeduldig. Eine riesen Schwäche von mir ist, dass ich extrem selbstkritisch bin. ",7,3,6,5,7,"- von unserem Universum 
- von vielen Planeten und Sternen im Universum, die der Größe nach aufgelistet wurden (vom Kleinsten zum Größten)",- Aufmerksamkeitsspanne der Zuschauer testen ,1,"",1,1,1,1,"",OK
360,601,exp_new,"Freundlich 
Liebevoll
Humorvoll
Loyal
Verletzlich 

Maßlos beim Essen 
Ungeduld 
Impulsiv 
Verletzlich 
",7,1,7,7,7,Wie die Erde immer kleiner wird,Wie sich ein Video auf die Emotionen auswirken kann ,1,"",1,1,1,1,"",OK
414,706,exp_old,"",,,,,,"","",,"",,,,,"",OK
375,689,exp_old,"sozial, durchsetzungskräftig, strukturiert, fair,
pünktlich, verlässlich,

ängslich, Orientierungsschwäche, Selbstzweifel,",6,3,7,2,5,Um die Erde und um das Universum. Wie klein die Erde ist im Gegensatz zu den anderen Planeten. Der Mensch als kleiner Teil vom großen. ,"Was das Video bei den Menschen auslöst, welche verschiedenen Wahrnehmungen ",1,"",1,1,1,1,"",OK
411,752,control,"Ich bin äußerst resilient, habe eine hohe Mustererkennung,  bin sehr gut in Konfliktlösung.
Schwächen sind , gedankenrasen, nachanalysieren aller Geschehnisse des Tages und Gespräche.  Konzentrationsprobleme",1,1,1,1,1,"Vom Mauerbau, der Fixierung und Stabilisierung der mauer",Visuelle Ankerpunkte die das Unterbewusstsein lenken,1,"",1,1,1,1,"",OK
411,742,exp_old,"Spontan
Humorvoll
Leidenschaftlich

Vergesslich
Schnellsprechend
Direkt",1,1,5,2,7,"Planeten im Universum
Vergleich der relativen Grössen
Grösster bekannter Planet verglichen mit der Erde",Keine Ahnung,1,"",1,1,1,1,"",OK
,,exp_old,"",,,,,,"","",,"",,,,,"",OK
393,695,exp_old,"Meine Stärken sind, dass ich sehr gut zuhören kann, emphatisch bin, jede Situation mit Humor nehmen kann und irgendeinen blöden Witz raushauen kann, ich bin sehr akribisch und lass mich nicht so schnell aus der Ruhe bringen 
Meine schwäche sind meine Vergesslichkeit, dass ich fünf Dinge Versuch gleichzeitig zu tun, sehr emotional bin und sehr selbstkritisch bin. Mit Kritik umgehen ist auch eine meiner Schwächen sowie Grenzen zu setzen und nein zu sagen ",7,1,5,6,7,"Der Größe der Erde und der Vergleich dazu von unseren Planeten, Sternen und Gasrießen die wir kennen.",Wie schnell unser geheime zwischen Emotionen und Wissen switchen kann?,1,"",1,1,1,1,"",OK
390,653,control,"Stärken: 
- Empathie 
- Kommunikation 
- extrovertiert 
- neugierig 
- lebensfroh
- tierlieb 
- handwerklich begabt 

Schwächen: 
- Kritik unfähig 
- sensibel 
- unsicher 
- anhänglich ",1,1,1,1,1,- Befestigung von Mauerwerken ,- medialer Einfluss auf emotionale Reaktionen ,1,"",1,1,1,1,"",OK
,,control,"",,,,,,"","",,"",,,,,"",OK
,,control,"",,,,,,"","",,"",,,,,"",OK
,,control,"",,,,,,"","",,"",,,,,"",OK
393,695,exp_new,Zu meinen Stärken gehört zwar nicht immer das aufmerksame zuhören aber ich merke mir einiges und erinnere mich gerne an Sachen die zb meine Freunde erzählt haben. Meistens ist die jedoch nur der Fall wenn es mich wirklich interessiert. Schwächen habe ich natürlich eine davon ist dabei keine gute selbstreflektion deswegen habe ich keine :),1,1,1,1,1,Es wurde viel gezeigt erst von der Erde und dann weiter raus gezoomt bis zum Weltall und das ganze Universum wurde gezeigt ,Aufmerksamkeit Überprüfung was zu einer Zeitverschwendung geführt hat ,2,Kam erst schwarzer Bildschirm grrrr musste es dann öfters neu laden aber dann hat alles supi dupi geklappt ,1,1,1,1,"",OK
,,exp_new,"",,,,,,"","",,"",,,,,"",OK
390,663,exp_old,"Ich denke ich bin sehr empathievoll und einfühlsam. Ich besitze emotionale Intelligenz und kann mich gut in andere Menschen hineinversetzen 
Manchmal kann ich aber etwas egoistisch denken bzw selbstzentriert sein und mir zu viele Gedanken über eine bestimmte Sache machen, sodass ich total gestresst werde ",5,3,7,5,7,"Von unserem Universum, unserem Planetensystem und insbesondere von der „Bedeutungslosigkeit“ der Erde im Vergleich zu den anderen viel größeren Planeten bzw. Sternen ","Um ehrlich zu sein keine Ahnung, aber vielleicht die Bedeutung des Menschen obwohl er eigentlich nur ein „Staubkorn“ im Universum ist ",1,"",1,1,1,1,"",OK
393,773,exp_new,"Stärken:
- Kreativität wenn in Not
- verhalten von menschen verstehen
- musisches Verständnis in Bezug auf Tanzen

Schwächen:
- verstehen von vieler Strukturen
- mit Gefühlen anderer umgehen können
- eigenes ego zurückstecken",1,1,5,7,7,"- das das Universum größer als nur unsere erde ist
- das es mehrer solarsysteme im Universum gibt","- das wir menschen nicht die einzigen Lebewesen sind und es weit aus mehr da draußen gibt bzw generell im leben, das einfach ein größeres Bild der Möglichkeiten gezeigt wird",1,"",1,1,1,1,"",OK
360,609,exp_new,"Ich bin Jemand, der sich konzentrieren kann und Dinge zu Ende bringen möchte. Kann mich auch auf langfristige Dinge gut einlassen. 
Leider hab ich eine geringe Frustrationstolleranz und bin beeinflussbar.",6,1,2,6,6,Reise von einem Punkt auf der Erde - Sonnensytem - Milchstraße- All,Keine Ahnung.,1,"",1,1,1,1,"",OK
360,626,exp_new,"Ich habe eine schnelle Auffassungsgabe. Bin fleißig und mache Dinge die ich anfange so gut ich kann.
Ich kann mich gut in Menschen hineinversetzen und versuche immer deren Sicht zu verstehen. ",5,1,6,4,7,Galaxien,"Empfindungen, Reaktion",1,"",1,1,1,1,"",OK
791,260,exp_new,"Meine Stärken sind Freundlichkeit und Hilfsbereitschaft. Ich bin fleißig, loyal meinen Freunden gegenüber und helfe gerne anderen, wenn sie es brauchen. Außerdem habe ich eine schnelle Auffassungsgabe. 
Meine Schwächen sind Impulsivität, 
Manchmal setze ich mich selbst sehr unter Druck, wenn ich zu viel machen möchte und gleichzeitig Perfektion erreichen will. ",6,2,5,7,6,"Herauszoomen von einem Punkt auf der Erde auf Ansicht des Kontinents, der Erde, dann auf unser Sonnensystem, Milchstraße, Universum. ","Keine Ahnung. Aber das Video zeigt für mich die Irrelevanz des Menschen. Wir nehmen uns so wichtig und vergessen dabei, dass wir ein sehr sehr kleiner Teil eines großen Ganzen sind. ",1,"",1,1,1,1,"",OK
390,699,exp_old,"Ich bin, organisiert und leistungsfähig. Für mein Alter bin ich noch sehr fit sehr. Ich bin hilfsbereit, wenn man mich fragt. ich kann sehr gut kochen und verschiedene Sprachen sprechen. Ich bin intelligent und vielseitig interessiert. Ich sehe gut aus. Bin selbstständig und unabhängig und kann mein Leben alleine führen. Ich habe eine handwerkliche Begabung.. 

Es fällt mir schwer, auf andere Menschen zu zugehen. Ich mache mir zu viele Gedanken über mich selbst und bin, obwohl ich meine Stärken kenne häufig unzufrieden mit mir selbst und meinen Leistungen und denke deshalb auch das andere mich wenig interessant finden. Ich bin undiszipliniert, nehme mir Dinge vor, aber führe sie da nicht durch.. ich bin zu perfektionistisch, das stresst mich sehr und ist auch für andere anstrengend. Daraus resultiert auch, dass es mir schwer fällt, Entscheidung zu treffen, weil ich immer versuche die perfekte Entscheidung zu treffen.. ich kann Kontrolle nicht abgeben, da ich mich dann unsicher fühle, lass ich nie ganz los.",5,1,5,4,5,"Von dem Universum und den Planeten, die uns umgeben. Vielleicht auch davon, wie winzig klein wie innerhalb dieses Universums sind.","Festzustellen, wie wichtig sich Personen selber nehmen.",1,"",1,1,1,1,"",OK
411,788,control,"",,,,,,"","",,"",,,,,"",OK
,,"","",,,,,,"","",,"",,,,,"",OK
1180,688,exp_new,"Empathie Aufgeschlossenheit sport sozial ruhig gelassenheit

Leicht stressbar 

",7,2,5,5,7,"Es sollte uns mal wieder daran erinnern, wie klein wir Menschen und die Erde sind. 
Universum Galaxien","Wie Menschen auf diese Vorstellung, dass da noch so viel mehr als wir sind im Universum, emotional reagieren",1,"",1,1,1,2,"",OK
,,control,"",,,,,,"","",,"",,,,,"",OK
1376,761,exp_new,"Ich bin eine sehr vertrauenswürdige und verständnisvolle Person. Es passiert häufig, dass Menschen, die mir zum ersten Mal begegnen, mir direkt sehr vertrauenswürdige Dinge erzählen. Ich bin geduldig, offenherzig, sehr herzlich. Außerdem bin ich extrem ehrgeizig, fleißig und charakterstark. Ich bin loyal und kann sehr gut auf andere Menschen eingehen.

Meine Schwächen sind, dass ich häufig Selbstzweifel habe, oft faul bin, wenn keine Deadline ansteht und ich bin sehr (selbst-)kritisch, womit ich mir häufig im Weg stehe.",4,1,3,3,4,"ländliches Gebiet wurde gezeigt, dann herausgezoomt, bis man das Gebiet von oben sah, dann immer weiter herausgezoomt, bis schließlich die Erde als ganzes, dann unser Sonnensystem, dann unsere Galaxie und dann ein Teil des Weltalls gezeigt wurde","Ich vermute, dass untersucht wird, wie die abgefragten Emotionen in Verbindung mit unserer Selbstwahrnehmung (positiv vs. negativ) stehen",1,"",1,1,1,3,"",OK
1272,668,exp_new,"Ich bin selbstbewusst, kann für mich einstehen, bin sportlich, kann mich für fast alles begeistern, habe ehrliches Interesse an der Geschichte anderer, kann ut dankbarkeit zeigen, auf der anderen Seite bin ich ungeduldig, kann sehr böse werden wenn ich hunger habe oder müde bin und bin manchmal auch sehr dickköpfig",6,2,6,4,6,"Universum, was für ein unbedeutender Teil dieses Universums wir sind, Unendlichkeit",Wie die Wahrnehmung von Stärken und Schwächen mit dem Vor Augen führen der Unwichtigkeit von uns Menschen zusammenhängen,1,"",1,1,1,3,"",OK
411,778,exp_new,Interessiert an neuem. Begeisterungsfähig und ehrlich. Ich kann zuhören und Entscheidungen schnell treffen. Meine Schwächen sind schlechte Englischkenntnisse und dass ich impulsiv bin. ,5,1,6,6,7,Ausgangspunkt war ein Ort auf der Erde in Deutschland. Dann wurde von diesem aus die Erde gezeigt und die Betrachtung ging weiter in das Universum. Immer weiter und tiefer ins Weltall. Das Sonnensystem und letztlich die Milchstraße wurden verlassen. Andere Galaxien waren zu sehe. Fazit: Die Erde und ihre Bedeutungslosigkeit angesichts der Dimension des Weltalls. ,"Zusammenhang von Emotionen, Selbsteinschätzung und Faszination ",1,"",1,1,1,1,"",OK
384,691,exp_new,"Meine Stärken liegen in meiner Empathiefähigkeit, musische Fähigkeit und darin das Wunder des SEINS und der Schöpfung zu sehen 
Meine Schwäche ist die Ungeduld und der Perfektionismus",7,1,7,7,7,Von der Klrinigkeit des Seins in die Größe des Seins: eine Sache wirkt groß ist aber im Ganzen klein und trotzdem (für den ersten Moment) von Bedeutung ,Wahrnehmung? Oder Emotionen,1,"",1,1,1,1,"",OK
1440,697,control,"Meine Stärken sind, dass ich gut zuhören kann, sehr offen für neue Eindrücke und Erfahrungen bin und mich für viele Dinge schnell begeistern kann. Ich glaube auch dass ich ein sehr kreativer Mensch bin, da ich gerne male. 

Schwächen sind Zurückgezogenheit, Perfektionismus, der Drang, Dinge überzuanalysieren",2,1,2,3,4,Stabilisation einer Mauer mit Stahlpfählen (Anleitung),Die Auswirkung von Ehrfurchtserfahrungen auf das Selbstbild (evtl über „Small Self“-Gefühle vermittelt),1,"",1,1,1,3,"",OK
392,720,control,"begeisterungsfähig, kann mich gut in Themen einarbeiten, kann unter Stress arbeiten, sehr schwingungsfähig/emotional intelligent

Schwäche: aktuell nicht wirklich alltagsfähig, diverse Probleme weil meine Symptomatik mit dem Alltag /funktionsfähig crasht, schwarz weiss denken, hänge mich zu sehr an details auf ",1,1,1,1,2,"Firma allanblock prasentiert ein Anleitungsblatt zum Mauerbau in Gärten, Verstärkung einer Mauer durch Kurveneinbau, Stärkung durch Pfähle (abmessung mit 60cm zu viel, die dann mit drei Werkzeugen in die Mauer getrieben werden, dafür werden erst umliegende Steine entfernt, dann mit Kleber wiedereingefügt.) Am Ende ästhetische Optionen zur Auswahl.","Mauerverstärkung als Symbol fürs Unbewusste, Stärke= sich besser auf seine Starke konzentrieren können, evtl auch Merkfähigkeit und Detailreplikation

ah ja kann sein dass ADHS/Autismus das bei mir verfälscht ",1,"",1,2,1,1,"",OK
375,637,control,"Ich kann ganz ok Zuhörern. Ich bin aufmerksam und hilfsbereit. Wenn mir wer von Problemen erzählt will ich gleich helfen, was auch als Schwäche gewertet werden kann, falls sich wer nur ausheulen will. 
Ich bin oft aber ungeduldig, und wenn ich gestresst bi will ich nicht von anderen geatmet werden. Ich hab einen Weg wie ich Sachen mache und wenn andere das anders machen bin ich oft überzeugt davon das sie es weniger genau, effizient und generell schlechter machen als ich mit meiner Strategie. Das kommt schnell besserwisserisch rüber. Ich würde behaupten dass ich recht reflektiert bin, bilde mir darauf aber auch ein wenig was ein. ",1,1,1,1,2,"Das Video handelte von verschiedenen wegen eine kleine Mauer stabiler zu gestalten. 
Die Bausteine und innen geführte Metallrohre die im Boden verankert sind helfen dabei. ",Emotionale Verarbeitung eines Videos ,1,"",1,1,1,1,"",OK
448,827,exp_old,"",,,,,,"","",,"",,,,,"",OK
393,695,control,"Ich bin sehr emphatisch und kann mich gut in andere hinein versetzen um zu verstehen was sie fühlen und warum.
Ich kann sehr gut mit Hunden umgehen und dem richtigen Zeitpunkt einschätzen um in ein verhalten einzugreifen.
Ich bin kreativ und kann mir viele verschiedene Geschichten und Situationen vorstellen und erschaffen.",1,1,1,1,1,"Mauerbau
Stabilisierung von Mauern
Rohre
Vorschlaghammer",Keine Ahnung ,1,"",1,1,1,1,"",OK
,,control,"",,,,,,"","",,"",,,,,"",OK
390,699,exp_new,"Stärken: Belastbarkeit, Empathie & Wertschätzung, Zuverlässigkeit, Kommunikation auf Augenhöhe, Zuhören, Verständnis entgegenbringen - Einfühlsam sein, Kochen, Konzentration, Erinnerungsvermögen
Schwächen: Kein Raumdenken bzw. abstände abschätzen können, Ungeduldig, Höhenangst, unsportlich ",1,1,5,3,7,Die Erde und wie klein diese ist im vergleich zum Universum. Veranschaulichung des Universums,Ich habe gar keine Ahnung.,1,"",1,1,1,1,"",OK
360,626,exp_old,"Meine Stärken sind, dass ich gut zuhören kann, immer verlässlich bin und hilfsbereit. Außerdem bin ich sehr kreativ und einfühlsam.
Meine Schwächen sind, dass ich immer alles perfekt und zu 100% richtig erledigen möchte und dadurch oft für Aufgaben zu viel Zeit brauche oder diese Aufgaben vor mir her schiebe. Außerdem fällt es mir schwer Kontrolle abzugeben.",7,2,6,4,6,Die Größenverhältnisse zwischen den Planeten unseres Sonnensystems und Sternen bis hin zum größten bekannten Stern,Wie das Video und die dabei empfunden Gefühle unsere Meinung über uns selber beeinflusst ,1,"",1,1,1,1,"",OK
980,1696,exp_old,"Meine größte Stärke, ich bin intelligent und analytisch. Ich kann abstrakte Muster sehr schnell identifizieren, verstehe mathematische und statistische Zusammenhänge oft auf Anhieb, und bemerke logische Widersprüche. 
Meine größte Schwäche ist meine Unzuverlässigkeit, ich vergesse oft Meetings, bleibe zu lange wach, schlafe zu lange, oder bin sonst irgendwie sehr verpeilt. ",7,1,5,6,7,"Ein Zoom aus den Dingen im Universum heraus, von einem Ort auf der Erde bis zum größten Stern",Keine Ahnung,1,"",1,1,1,1,"",OK
,,control,"",,,,,,"","",,"",,,,,"",OK
